_row_id,augment_ranking_row_id,stage_order,stage_pick_rate,avg_ranking,raw_json
172,58,1,5.45,4.69,"{""stagePickRate"":5.45,""avgRanking"":4.69}"
173,58,2,3,4.58,"{""stagePickRate"":3,""avgRanking"":4.58}"
174,58,3,5.95,4.31,"{""stagePickRate"":5.95,""avgRanking"":4.31}"
175,59,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
176,59,2,11.79,4.54,"{""stagePickRate"":11.79,""avgRanking"":4.54}"
177,59,3,2.6,4.42,"{""stagePickRate"":2.6,""avgRanking"":4.42}"
178,60,1,4.6,4.29,"{""stagePickRate"":4.6,""avgRanking"":4.29}"
179,60,2,7.79,4.26,"{""stagePickRate"":7.79,""avgRanking"":4.26}"
180,60,3,1.6,4.63,"{""stagePickRate"":1.6,""avgRanking"":4.63}"
181,61,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
182,61,2,13.22,4.59,"{""stagePickRate"":13.22,""avgRanking"":4.59}"
183,61,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
184,62,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
185,62,2,13.95,4.31,"{""stagePickRate"":13.95,""avgRanking"":4.31}"
186,62,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
187,63,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
188,63,2,9.81,4.55,"{""stagePickRate"":9.81,""avgRanking"":4.55}"
189,63,3,4.08,4.23,"{""stagePickRate"":4.08,""avgRanking"":4.23}"
190,64,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
191,64,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
192,64,3,13.77,4.23,"{""stagePickRate"":13.77,""avgRanking"":4.23}"
193,65,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
194,65,2,12.7,4.42,"{""stagePickRate"":12.7,""avgRanking"":4.42}"
195,65,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
196,66,1,4.45,4.54,"{""stagePickRate"":4.45,""avgRanking"":4.54}"
197,66,2,6.77,4.55,"{""stagePickRate"":6.77,""avgRanking"":4.55}"
198,66,3,2.16,4.34,"{""stagePickRate"":2.16,""avgRanking"":4.34}"
199,67,1,13.33,4.42,"{""stagePickRate"":13.33,""avgRanking"":4.42}"
200,67,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
201,67,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
202,68,1,13.22,4.42,"{""stagePickRate"":13.22,""avgRanking"":4.42}"
203,68,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
204,68,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
205,69,1,13.14,4.36,"{""stagePickRate"":13.14,""avgRanking"":4.36}"
206,69,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
207,69,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
208,70,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
209,70,2,13.04,4.79,"{""stagePickRate"":13.04,""avgRanking"":4.79}"
210,70,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
211,71,1,2.45,4.14,"{""stagePickRate"":2.45,""avgRanking"":4.14}"
212,71,2,7.81,4.15,"{""stagePickRate"":7.81,""avgRanking"":4.15}"
213,71,3,2.6,4.34,"{""stagePickRate"":2.6,""avgRanking"":4.34}"
214,72,1,12.6,4.43,"{""stagePickRate"":12.6,""avgRanking"":4.43}"
215,72,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
216,72,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
217,73,1,11.04,4.69,"{""stagePickRate"":11.04,""avgRanking"":4.69}"
218,73,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
219,73,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
220,74,1,6.54,4.28,"{""stagePickRate"":6.54,""avgRanking"":4.28}"
221,74,2,5.43,4.33,"{""stagePickRate"":5.43,""avgRanking"":4.33}"
222,74,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
223,75,1,11.43,4.35,"{""stagePickRate"":11.43,""avgRanking"":4.35}"
224,75,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
225,75,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
226,76,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
227,76,2,9.54,4.54,"{""stagePickRate"":9.54,""avgRanking"":4.54}"
228,76,3,2.54,4.86,"{""stagePickRate"":2.54,""avgRanking"":4.86}"
229,77,1,10.85,4.67,"{""stagePickRate"":10.85,""avgRanking"":4.67}"
230,77,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
231,77,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
232,78,1,6.02,4.56,"{""stagePickRate"":6.02,""avgRanking"":4.56}"
233,78,2,5.14,4.36,"{""stagePickRate"":5.14,""avgRanking"":4.36}"
234,78,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
235,79,1,6.89,4.19,"{""stagePickRate"":6.89,""avgRanking"":4.19}"
236,79,2,4.35,4.31,"{""stagePickRate"":4.35,""avgRanking"":4.31}"
237,79,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
238,80,1,10.6,4.01,"{""stagePickRate"":10.6,""avgRanking"":4.01}"
239,80,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
240,80,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
241,81,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
242,81,2,3.91,4.55,"{""stagePickRate"":3.91,""avgRanking"":4.55}"
243,81,3,7.66,4.26,"{""stagePickRate"":7.66,""avgRanking"":4.26}"
244,82,1,3.33,4.35,"{""stagePickRate"":3.33,""avgRanking"":4.35}"
245,82,2,7.87,4.45,"{""stagePickRate"":7.87,""avgRanking"":4.45}"
246,82,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
247,83,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
248,83,2,8.06,4.01,"{""stagePickRate"":8.06,""avgRanking"":4.01}"
249,83,3,3.45,4.16,"{""stagePickRate"":3.45,""avgRanking"":4.16}"
250,84,1,10.33,4.02,"{""stagePickRate"":10.33,""avgRanking"":4.02}"
251,84,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
252,84,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
253,85,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
254,85,2,4.75,4.6,"{""stagePickRate"":4.75,""avgRanking"":4.6}"
255,85,3,6.68,4.38,"{""stagePickRate"":6.68,""avgRanking"":4.38}"
256,86,1,9.43,4.43,"{""stagePickRate"":9.43,""avgRanking"":4.43}"
257,86,2,1.33,3.96,"{""stagePickRate"":1.33,""avgRanking"":3.96}"
258,86,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
259,87,1,3.33,4.31,"{""stagePickRate"":3.33,""avgRanking"":4.31}"
260,87,2,3.75,4.51,"{""stagePickRate"":3.75,""avgRanking"":4.51}"
261,87,3,4.29,4.74,"{""stagePickRate"":4.29,""avgRanking"":4.74}"
262,88,1,3.45,4.6,"{""stagePickRate"":3.45,""avgRanking"":4.6}"
263,88,2,3.18,4.01,"{""stagePickRate"":3.18,""avgRanking"":4.01}"
264,88,3,4.7,4.32,"{""stagePickRate"":4.7,""avgRanking"":4.32}"
265,89,1,3.35,4.44,"{""stagePickRate"":3.35,""avgRanking"":4.44}"
266,89,2,6.08,4.7,"{""stagePickRate"":6.08,""avgRanking"":4.7}"
267,89,3,1.77,4.35,"{""stagePickRate"":1.77,""avgRanking"":4.35}"
268,90,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
269,90,2,10.41,4.41,"{""stagePickRate"":10.41,""avgRanking"":4.41}"
270,90,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
271,91,1,5.08,4.33,"{""stagePickRate"":5.08,""avgRanking"":4.33}"
272,91,2,5.08,4.5,"{""stagePickRate"":5.08,""avgRanking"":4.5}"
273,91,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
