_row_id,unit_ranking_row_id,equipment_order,equipment_id,equipment_img,raw_json
44,9,4,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
45,9,5,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
46,10,1,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
47,10,2,2032,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png,"{""equipmentId"":2032,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png""}"
48,10,3,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
49,10,4,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
50,10,5,2023,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png,"{""equipmentId"":2023,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png""}"
51,11,1,2010,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2010.png,"{""equipmentId"":2010,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2010.png""}"
52,11,2,2013,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/krakensfury.png,"{""equipmentId"":2013,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/krakensfury.png""}"
53,11,3,2045,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2045.png,"{""equipmentId"":2045,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2045.png""}"
